Id,t1_m,t1_p,t1_c,t2_m,t2_p,t2_c,t3_m,t3_p,t3_c,t4_m,t4_p,t4_c,t5_m(calc),t5_p(calc),t5_c(calc)
26547,78.0,79.0,78.0,76.0,75.0,78.0,79.0,76.0,78.0,75.0,77.0,76.0,75.0,75.0,78.0
26548,73.0,72.0,70.0,70.0,70.0,75.0,75.0,75.0,74.0,75.0,73.0,75.0,70.0,70.0,74.0
26549,67.0,69.0,69.0,65.0,68.0,67.0,66.0,65.0,68.0,66.0,65.0,67.0,65.0,65.0,66.0
26550,62.0,62.0,65.0,61.0,62.0,61.0,61.0,60.0,60.0,65.0,62.0,65.0,65.0,65.0,60.0
26551,55.0,60.0,59.0,60.0,60.0,56.0,59.0,55.0,56.0,59.0,55.0,55.0,58.0,55.0,58.0
26552,50.0,55.0,53.0,,51.0,53.0,52.0,50.0,52.0,50.0,55.0,51.0,52.0,54.0,53.0
26553,45.0,49.0,45.0,45.0,50.0,47.0,47.0,45.0,49.0,47.0,46.0,45.0,50.0,45.0,45.0
26554,41.0,43.0,40.0,45.0,42.0,44.0,40.0,40.0,42.0,42.0,44.0,43.0,40.0,42.0,45.0
26555,39.0,35.0,38.0,39.0,36.0,40.0,36.0,36.0,40.0,38.0,38.0,36.0,40.0,39.0,39.0
26556,32.0,33.0,34.0,34.0,30.0,33.0,31.0,35.0,30.0,32.0,35.0,30.0,33.0,30.0,32.0
26557,30.0,27.0,26.0,26.0,25.0,26.0,25.0,25.0,27.0,25.0,25.0,28.0,29.0,28.0,27.0
26558,22.0,21.0,17.0,11.0,23.0,17.0,24.0,13.0,13.0,24.0,25.0,19.0,19.0,11.0,10.0
26559,0.0,1.0,6.0,1.0,3.0,2.0,4.0,9.0,2.0,0.0,10.0,5.0,5.0,2.0,6.0
26560,117.0,111.0,114.0,113.0,114.0,115.0,116.0,118.0,111.0,111.0,119.0,120.0,114.0,117.0,110.0
26561,108.0,109.0,108.0,110.0,109.0,105.0,106.0,106.0,105.0,109.0,108.0,107.0,105.0,106.0,108.0
26562,103.0,100.0,102.0,104.0,103.0,104.0,105.0,104.0,103.0,104.0,104.0,104.0,100.0,103.0,104.0
26563,100.0,95.0,98.0,95.0,97.0,100.0,96.0,96.0,100.0,95.0,96.0,99.0,100.0,96.0,99.0
26564,94.0,90.0,92.0,92.0,95.0,93.0,94.0,92.0,90.0,92.0,91.0,90.0,90.0,95.0,93.0
26565,88.0,89.0,89.0,89.0,89.0,87.0,85.0,86.0,88.0,90.0,85.0,88.0,86.0,89.0,88.0
26566,83.0,85.0,82.0,80.0,85.0,84.0,83.0,85.0,84.0,83.0,82.0,80.0,80.0,58.0,82.0
26567,75.0,77.0,77.0,75.0,79.0,75.0,76.0,79.0,80.0,80.0,75.0,79.0,80.0,78.0,78.0
26568,71.0,75.0,74.0,74.0,72.0,74.0,73.0,74.0,72.0,72.0,72.0,74.0,74.0,72.0,73.0
26569,69.0,68.0,70.0,66.0,69.0,67.0,67.0,65.0,66.0,68.0,69.0,68.0,65.0,70.0,68.0
26570,63.0,64.0,65.0,60.0,61.0,65.0,65.0,63.0,60.0,64.0,62.0,62.0,62.0,65.0,65.0
26571,55.0,59.0,58.0,58.0,58.0,60.0,59.0,57.0,55.0,60.0,56.0,56.0,57.0,59.0,59.0
26572,51.0,55.0,54.0,51.0,53.0,53.0,53.0,51.0,55.0,51.0,55.0,54.0,52.0,55.0,52.0
26573,46.0,49.0,50.0,47.0,48.0,47.0,47.0,45.0,49.0,45.0,46.0,48.0,46.0,48.0,45.0
26574,45.0,45.0,40.0,43.0,43.0,41.0,45.0,43.0,42.0,45.0,44.0,40.0,44.0,42.0,43.0
26575,37.0,39.0,40.0,38.0,,36.0,40.0,36.0,36.0,38.0,37.0,36.0,36.0,37.0,36.0
26576,34.0,35.0,31.0,33.0,32.0,33.0,31.0,33.0,34.0,35.0,32.0,30.0,34.0,33.0,34.0
26577,28.0,26.0,25.0,25.0,25.0,26.0,29.0,28.0,30.0,26.0,29.0,26.0,30.0,27.0,25.0
26578,17.0,15.0,18.0,24.0,12.0,15.0,15.0,10.0,13.0,18.0,24.0,21.0,13.0,19.0,24.0
26579,1.0,9.0,10.0,7.0,2.0,10.0,1.0,7.0,10.0,1.0,2.0,1.0,10.0,10.0,5.0
26580,111.0,111.0,120.0,119.0,111.0,113.0,119.0,114.0,110.0,117.0,116.0,120.0,115.0,119.0,118.0
26581,109.0,108.0,110.0,110.0,108.0,108.0,107.0,106.0,109.0,110.0,106.0,108.0,109.0,105.0,
26582,100.0,104.0,100.0,101.0,105.0,,100.0,105.0,104.0,105.0,104.0,105.0,101.0,102.0,101.0
26583,95.0,96.0,97.0,99.0,96.0,95.0,97.0,99.0,97.0,97.0,98.0,97.0,95.0,98.0,98.0
26584,,95.0,92.0,90.0,90.0,94.0,92.0,91.0,91.0,92.0,95.0,94.0,94.0,93.0,90.0
26585,89.0,89.0,86.0,87.0,90.0,85.0,86.0,87.0,89.0,90.0,87.0,85.0,85.0,88.0,88.0
26586,80.0,85.0,83.0,81.0,83.0,80.0,81.0,85.0,82.0,81.0,82.0,85.0,78.0,59.0,76.0
26587,78.0,80.0,75.0,77.0,77.0,80.0,79.0,78.0,75.0,77.0,80.0,75.0,76.0,78.0,77.0
26588,74.0,73.0,74.0,71.0,72.0,72.0,70.0,70.0,73.0,74.0,73.0,70.0,71.0,73.0,74.0
26589,68.0,67.0,66.0,68.0,68.0,65.0,70.0,69.0,66.0,70.0,65.0,70.0,68.0,70.0,69.0
26590,63.0,63.0,63.0,61.0,62.0,65.0,63.0,65.0,60.0,61.0,60.0,62.0,62.0,61.0,61.0
26591,56.0,56.0,55.0,56.0,57.0,58.0,,58.0,59.0,59.0,59.0,55.0,55.0,55.0,57.0
26592,51.0,55.0,53.0,53.0,50.0,54.0,50.0,54.0,51.0,52.0,54.0,51.0,55.0,54.0,52.0
26593,46.0,49.0,50.0,50.0,47.0,45.0,46.0,49.0,46.0,50.0,49.0,49.0,47.0,46.0,45.0
26594,42.0,40.0,43.0,42.0,43.0,40.0,45.0,44.0,43.0,41.0,43.0,40.0,41.0,44.0,44.0
26595,35.0,35.0,39.0,35.0,,40.0,37.0,36.0,36.0,38.0,36.0,39.0,40.0,40.0,39.0
26596,30.0,32.0,32.0,30.0,31.0,35.0,32.0,35.0,32.0,32.0,35.0,32.0,33.0,32.0,32.0
26597,27.0,30.0,30.0,25.0,28.0,25.0,28.0,29.0,25.0,29.0,27.0,29.0,28.0,30.0,28.0
26598,12.0,10.0,16.0,14.0,24.0,22.0,10.0,23.0,19.0,17.0,22.0,19.0,17.0,10.0,11.0
26599,6.0,6.0,6.0,1.0,6.0,7.0,0.0,7.0,7.0,5.0,6.0,2.0,6.0,7.0,3.0
26600,119.0,120.0,111.0,115.0,119.0,110.0,115.0,111.0,112.0,120.0,116.0,117.0,115.0,110.0,115.0
26601,106.0,105.0,105.0,110.0,106.0,108.0,107.0,108.0,106.0,109.0,110.0,105.0,110.0,110.0,110.0
26602,105.0,100.0,102.0,104.0,103.0,101.0,103.0,105.0,104.0,101.0,104.0,100.0,100.0,100.0,102.0
26603,95.0,97.0,96.0,96.0,97.0,97.0,99.0,98.0,98.0,99.0,99.0,98.0,95.0,100.0,99.0
26604,92.0,93.0,,91.0,93.0,90.0,92.0,93.0,93.0,94.0,95.0,95.0,95.0,92.0,94.0
26605,87.0,88.0,89.0,89.0,90.0,88.0,87.0,86.0,89.0,88.0,88.0,88.0,90.0,90.0,85.0
26606,81.0,84.0,85.0,80.0,85.0,81.0,81.0,81.0,83.0,81.0,81.0,84.0,64.0,61.0,74.0
26607,75.0,80.0,77.0,75.0,79.0,76.0,78.0,78.0,75.0,76.0,75.0,78.0,76.0,75.0,76.0
26608,71.0,70.0,70.0,70.0,74.0,75.0,71.0,72.0,72.0,74.0,70.0,73.0,73.0,,71.0
26609,67.0,67.0,68.0,69.0,67.0,68.0,68.0,68.0,70.0,65.0,69.0,70.0,67.0,66.0,69.0
26610,64.0,63.0,64.0,60.0,63.0,60.0,62.0,62.0,60.0,64.0,64.0,61.0,65.0,60.0,62.0
26611,59.0,60.0,59.0,59.0,59.0,59.0,56.0,57.0,59.0,60.0,56.0,58.0,58.0,55.0,59.0
26612,52.0,54.0,50.0,53.0,52.0,52.0,52.0,53.0,53.0,53.0,50.0,55.0,51.0,54.0,52.0
26613,48.0,50.0,49.0,47.0,47.0,45.0,50.0,48.0,50.0,48.0,45.0,46.0,50.0,47.0,46.0
26614,45.0,43.0,40.0,41.0,43.0,40.0,43.0,44.0,41.0,45.0,45.0,43.0,40.0,43.0,40.0
26615,39.0,39.0,38.0,38.0,37.0,38.0,,38.0,37.0,38.0,38.0,39.0,38.0,40.0,35.0
26616,33.0,32.0,34.0,34.0,31.0,30.0,33.0,31.0,31.0,35.0,34.0,32.0,31.0,32.0,34.0
26617,26.0,28.0,28.0,25.0,30.0,26.0,27.0,25.0,29.0,25.0,26.0,28.0,29.0,29.0,29.0
26618,22.0,14.0,10.0,12.0,25.0,10.0,11.0,22.0,25.0,13.0,10.0,23.0,13.0,25.0,20.0
26619,7.0,9.0,2.0,6.0,9.0,3.0,8.0,0.0,5.0,2.0,3.0,2.0,10.0,5.0,10.0
26620,117.0,112.0,118.0,120.0,119.0,117.0,120.0,111.0,115.0,119.0,115.0,118.0,114.0,113.0,112.0
26621,110.0,109.0,105.0,106.0,106.0,108.0,109.0,108.0,110.0,110.0,108.0,109.0,107.0,110.0,109.0
26622,105.0,101.0,102.0,103.0,100.0,100.0,104.0,104.0,100.0,104.0,103.0,102.0,100.0,100.0,103.0
26623,98.0,98.0,98.0,98.0,99.0,98.0,98.0,96.0,96.0,95.0,95.0,97.0,97.0,95.0,95.0
26624,91.0,95.0,91.0,92.0,92.0,92.0,95.0,90.0,91.0,95.0,91.0,93.0,90.0,93.0,90.0
26625,90.0,90.0,87.0,88.0,88.0,90.0,87.0,90.0,87.0,88.0,87.0,90.0,86.0,90.0,88.0
26626,82.0,85.0,82.0,81.0,82.0,80.0,81.0,81.0,83.0,82.0,84.0,81.0,71.0,83.0,64.0
26627,79.0,75.0,79.0,78.0,80.0,77.0,79.0,78.0,80.0,75.0,80.0,78.0,79.0,80.0,75.0
26628,71.0,75.0,74.0,72.0,70.0,75.0,75.0,73.0,70.0,71.0,71.0,73.0,70.0,74.0,74.0
26629,68.0,69.0,66.0,68.0,70.0,65.0,70.0,67.0,66.0,68.0,66.0,70.0,65.0,65.0,70.0
26630,60.0,65.0,62.0,61.0,65.0,62.0,64.0,63.0,63.0,62.0,60.0,65.0,62.0,62.0,
26631,55.0,57.0,59.0,58.0,60.0,56.0,56.0,56.0,59.0,55.0,59.0,60.0,57.0,58.0,58.0
26632,53.0,55.0,51.0,53.0,50.0,50.0,54.0,53.0,51.0,53.0,53.0,54.0,51.0,50.0,52.0
26633,45.0,46.0,48.0,46.0,48.0,50.0,50.0,49.0,50.0,45.0,46.0,48.0,45.0,46.0,45.0
26634,44.0,45.0,40.0,45.0,41.0,41.0,40.0,40.0,40.0,45.0,41.0,40.0,45.0,40.0,44.0
26635,36.0,40.0,35.0,39.0,35.0,38.0,35.0,40.0,37.0,36.0,37.0,37.0,38.0,37.0,38.0
26636,32.0,33.0,34.0,31.0,34.0,31.0,34.0,35.0,31.0,31.0,32.0,32.0,30.0,33.0,34.0
26637,26.0,28.0,25.0,29.0,25.0,29.0,28.0,25.0,28.0,27.0,26.0,25.0,25.0,27.0,27.0
26638,19.0,15.0,12.0,14.0,23.0,22.0,19.0,13.0,15.0,24.0,18.0,22.0,13.0,17.0,18.0
26639,9.0,7.0,3.0,7.0,10.0,4.0,0.0,3.0,0.0,6.0,6.0,10.0,9.0,1.0,3.0
26640,118.0,118.0,119.0,120.0,111.0,119.0,110.0,117.0,113.0,117.0,115.0,117.0,118.0,120.0,120.0
26641,106.0,108.0,106.0,109.0,106.0,107.0,108.0,109.0,110.0,106.0,105.0,109.0,106.0,108.0,110.0
26642,101.0,104.0,100.0,102.0,100.0,102.0,101.0,103.0,102.0,101.0,103.0,102.0,103.0,100.0,104.0
26643,99.0,99.0,95.0,95.0,100.0,96.0,99.0,96.0,95.0,95.0,100.0,95.0,97.0,95.0,
26644,92.0,94.0,95.0,94.0,91.0,94.0,95.0,90.0,94.0,95.0,91.0,95.0,91.0,92.0,92.0
26645,87.0,86.0,85.0,87.0,87.0,88.0,86.0,86.0,86.0,90.0,89.0,90.0,85.0,90.0,89.0
26646,82.0,81.0,81.0,85.0,82.0,82.0,81.0,82.0,85.0,83.0,85.0,85.0,76.0,82.0,56.0
26647,78.0,75.0,75.0,75.0,79.0,78.0,78.0,78.0,77.0,75.0,77.0,80.0,79.0,76.0,79.0
26648,74.0,74.0,71.0,72.0,74.0,73.0,74.0,75.0,71.0,70.0,73.0,71.0,72.0,70.0,74.0
26649,70.0,68.0,70.0,69.0,69.0,70.0,70.0,69.0,65.0,70.0,66.0,69.0,70.0,67.0,67.0
26650,64.0,64.0,62.0,63.0,65.0,61.0,61.0,63.0,63.0,65.0,61.0,64.0,64.0,63.0,64.0
26651,55.0,56.0,57.0,60.0,58.0,55.0,60.0,56.0,57.0,56.0,58.0,,60.0,60.0,55.0
26652,50.0,54.0,54.0,53.0,53.0,51.0,52.0,55.0,53.0,54.0,50.0,50.0,52.0,54.0,52.0
26653,50.0,47.0,48.0,45.0,50.0,45.0,49.0,46.0,48.0,47.0,47.0,47.0,49.0,47.0,49.0
26654,44.0,40.0,42.0,40.0,41.0,40.0,45.0,44.0,40.0,43.0,40.0,43.0,44.0,40.0,42.0
26655,36.0,35.0,36.0,37.0,35.0,36.0,36.0,35.0,35.0,39.0,,38.0,38.0,35.0,38.0
26656,31.0,30.0,30.0,31.0,30.0,33.0,30.0,30.0,30.0,35.0,31.0,32.0,31.0,34.0,31.0
26657,30.0,25.0,25.0,26.0,25.0,27.0,29.0,26.0,28.0,26.0,30.0,29.0,25.0,29.0,25.0
26658,12.0,19.0,18.0,22.0,14.0,20.0,20.0,17.0,24.0,15.0,,15.0,10.0,10.0,19.0
26659,2.0,6.0,0.0,6.0,10.0,1.0,8.0,4.0,6.0,2.0,6.0,6.0,7.0,3.0,2.0
26660,115.0,112.0,115.0,115.0,116.0,110.0,114.0,114.0,113.0,116.0,118.0,111.0,114.0,113.0,119.0
26661,106.0,106.0,107.0,110.0,108.0,107.0,106.0,109.0,106.0,107.0,108.0,107.0,109.0,110.0,105.0
26662,105.0,105.0,103.0,104.0,102.0,102.0,105.0,103.0,102.0,102.0,105.0,105.0,102.0,104.0,101.0
26663,98.0,100.0,95.0,97.0,97.0,100.0,98.0,98.0,99.0,98.0,99.0,95.0,95.0,99.0,95.0
26664,91.0,95.0,95.0,95.0,94.0,95.0,92.0,91.0,93.0,93.0,90.0,94.0,91.0,95.0,91.0
26665,88.0,89.0,86.0,85.0,86.0,89.0,87.0,87.0,86.0,87.0,85.0,89.0,85.0,90.0,90.0
26666,84.0,82.0,83.0,80.0,81.0,80.0,80.0,84.0,81.0,85.0,82.0,85.0,55.0,76.0,62.0
26667,75.0,76.0,79.0,76.0,79.0,77.0,77.0,77.0,80.0,77.0,79.0,76.0,75.0,79.0,75.0
26668,75.0,73.0,75.0,74.0,70.0,72.0,75.0,70.0,74.0,71.0,73.0,72.0,75.0,74.0,71.0
26669,67.0,65.0,68.0,67.0,,68.0,70.0,70.0,67.0,68.0,66.0,68.0,67.0,67.0,65.0
26670,65.0,64.0,64.0,62.0,60.0,62.0,63.0,62.0,63.0,65.0,64.0,60.0,65.0,64.0,63.0
26671,56.0,60.0,58.0,57.0,59.0,59.0,56.0,59.0,60.0,59.0,56.0,58.0,59.0,56.0,56.0
26672,51.0,55.0,53.0,53.0,51.0,52.0,51.0,52.0,54.0,50.0,54.0,50.0,53.0,53.0,54.0
26673,50.0,46.0,49.0,45.0,48.0,45.0,50.0,45.0,48.0,49.0,45.0,50.0,49.0,48.0,47.0
26674,43.0,43.0,44.0,45.0,42.0,43.0,44.0,40.0,42.0,44.0,42.0,44.0,44.0,42.0,45.0
26675,39.0,37.0,38.0,39.0,38.0,39.0,40.0,39.0,35.0,40.0,39.0,39.0,37.0,37.0,40.0
26676,34.0,35.0,30.0,35.0,31.0,34.0,31.0,33.0,33.0,30.0,32.0,32.0,34.0,35.0,31.0
26677,25.0,25.0,29.0,26.0,30.0,29.0,28.0,30.0,29.0,28.0,30.0,30.0,25.0,25.0,27.0
26678,25.0,22.0,17.0,13.0,20.0,20.0,12.0,13.0,16.0,15.0,22.0,13.0,23.0,12.0,18.0
26679,6.0,10.0,1.0,4.0,1.0,,5.0,5.0,10.0,6.0,4.0,10.0,3.0,1.0,9.0
26680,112.0,113.0,115.0,111.0,114.0,119.0,116.0,113.0,116.0,116.0,115.0,117.0,117.0,120.0,
26681,107.0,109.0,110.0,110.0,105.0,109.0,107.0,109.0,105.0,108.0,105.0,105.0,107.0,107.0,105.0
26682,104.0,101.0,102.0,103.0,101.0,104.0,,101.0,100.0,105.0,100.0,101.0,101.0,105.0,103.0
26683,100.0,95.0,95.0,96.0,95.0,95.0,97.0,99.0,100.0,100.0,97.0,99.0,100.0,100.0,97.0
26684,95.0,90.0,91.0,90.0,95.0,95.0,,92.0,90.0,92.0,92.0,95.0,95.0,90.0,95.0
26685,85.0,89.0,87.0,88.0,86.0,87.0,86.0,86.0,90.0,89.0,87.0,85.0,88.0,89.0,85.0
26686,82.0,82.0,82.0,81.0,82.0,85.0,81.0,82.0,81.0,81.0,81.0,81.0,64.0,83.0,64.0
26687,78.0,75.0,79.0,77.0,76.0,77.0,77.0,80.0,77.0,76.0,77.0,79.0,77.0,77.0,77.0
26688,70.0,75.0,70.0,70.0,70.0,73.0,72.0,71.0,72.0,71.0,70.0,73.0,,74.0,72.0
26689,65.0,66.0,70.0,70.0,65.0,69.0,66.0,67.0,67.0,69.0,69.0,65.0,65.0,70.0,70.0
26690,62.0,62.0,62.0,65.0,60.0,65.0,65.0,65.0,60.0,63.0,62.0,61.0,61.0,63.0,63.0
26691,58.0,57.0,59.0,56.0,56.0,59.0,55.0,57.0,58.0,60.0,56.0,58.0,58.0,59.0,59.0
26692,54.0,54.0,53.0,50.0,52.0,50.0,51.0,52.0,51.0,51.0,52.0,52.0,,52.0,51.0
26693,48.0,47.0,45.0,49.0,49.0,48.0,45.0,48.0,49.0,46.0,47.0,47.0,50.0,50.0,47.0
26694,45.0,42.0,41.0,41.0,45.0,40.0,45.0,40.0,43.0,42.0,42.0,43.0,44.0,41.0,40.0
26695,37.0,39.0,36.0,36.0,37.0,35.0,35.0,38.0,40.0,35.0,39.0,39.0,35.0,35.0,36.0
26696,30.0,33.0,30.0,32.0,30.0,35.0,35.0,34.0,34.0,34.0,33.0,35.0,34.0,30.0,32.0
26697,29.0,29.0,27.0,29.0,30.0,28.0,26.0,27.0,29.0,30.0,29.0,26.0,26.0,25.0,30.0
26698,18.0,10.0,17.0,16.0,23.0,15.0,17.0,19.0,19.0,21.0,16.0,20.0,14.0,22.0,13.0
26699,1.0,0.0,4.0,9.0,4.0,7.0,9.0,9.0,6.0,9.0,8.0,3.0,4.0,1.0,5.0
26700,120.0,113.0,116.0,118.0,118.0,111.0,111.0,118.0,120.0,114.0,111.0,110.0,120.0,118.0,116.0
26701,108.0,105.0,108.0,109.0,105.0,108.0,108.0,110.0,105.0,105.0,105.0,109.0,107.0,107.0,105.0
26702,102.0,100.0,104.0,105.0,103.0,103.0,101.0,101.0,102.0,103.0,102.0,100.0,103.0,105.0,100.0
26703,97.0,99.0,98.0,100.0,97.0,100.0,99.0,99.0,99.0,97.0,,99.0,98.0,95.0,98.0
26704,93.0,91.0,93.0,95.0,91.0,94.0,90.0,91.0,95.0,91.0,91.0,91.0,92.0,95.0,93.0
26705,89.0,90.0,89.0,87.0,90.0,85.0,89.0,88.0,85.0,85.0,88.0,87.0,85.0,85.0,88.0
26706,82.0,83.0,85.0,82.0,83.0,82.0,80.0,85.0,84.0,85.0,83.0,83.0,78.0,70.0,80.0
26707,79.0,77.0,77.0,78.0,77.0,77.0,77.0,76.0,75.0,77.0,78.0,75.0,76.0,79.0,77.0
26708,,72.0,75.0,74.0,71.0,75.0,71.0,71.0,73.0,72.0,71.0,72.0,74.0,71.0,73.0
26709,68.0,69.0,65.0,68.0,65.0,67.0,69.0,70.0,65.0,68.0,70.0,,67.0,69.0,69.0
26710,60.0,62.0,64.0,64.0,61.0,62.0,65.0,65.0,60.0,65.0,61.0,61.0,65.0,62.0,62.0
26711,59.0,57.0,56.0,57.0,56.0,55.0,57.0,59.0,58.0,57.0,56.0,59.0,56.0,56.0,58.0
26712,52.0,53.0,51.0,50.0,54.0,51.0,53.0,50.0,50.0,55.0,52.0,50.0,53.0,54.0,55.0
26713,46.0,48.0,46.0,45.0,48.0,50.0,47.0,50.0,45.0,48.0,48.0,45.0,45.0,46.0,45.0
26714,42.0,42.0,42.0,43.0,45.0,42.0,43.0,40.0,44.0,40.0,40.0,43.0,44.0,40.0,43.0
26715,38.0,38.0,35.0,35.0,35.0,36.0,37.0,37.0,39.0,38.0,35.0,36.0,39.0,38.0,36.0
26716,30.0,32.0,33.0,30.0,30.0,33.0,32.0,32.0,35.0,31.0,35.0,34.0,32.0,32.0,31.0
26717,25.0,25.0,25.0,27.0,28.0,29.0,29.0,25.0,27.0,30.0,28.0,25.0,29.0,29.0,26.0
26718,16.0,17.0,11.0,16.0,22.0,22.0,10.0,25.0,10.0,11.0,17.0,11.0,21.0,19.0,18.0
26719,7.0,1.0,1.0,8.0,4.0,8.0,10.0,2.0,2.0,7.0,6.0,6.0,6.0,10.0,7.0
26720,119.0,120.0,116.0,111.0,112.0,111.0,120.0,113.0,118.0,117.0,120.0,117.0,119.0,113.0,112.0
26721,109.0,108.0,105.0,107.0,108.0,108.0,105.0,109.0,108.0,105.0,110.0,107.0,107.0,105.0,106.0
26722,105.0,100.0,103.0,103.0,104.0,105.0,103.0,102.0,104.0,105.0,100.0,105.0,101.0,101.0,101.0
26723,97.0,97.0,96.0,96.0,97.0,96.0,98.0,97.0,100.0,97.0,97.0,96.0,98.0,97.0,98.0
26724,94.0,95.0,93.0,95.0,91.0,95.0,92.0,91.0,95.0,95.0,95.0,92.0,95.0,92.0,91.0
26725,88.0,86.0,85.0,90.0,89.0,90.0,89.0,88.0,90.0,87.0,90.0,87.0,90.0,87.0,90.0
26726,81.0,84.0,81.0,80.0,85.0,82.0,85.0,83.0,81.0,80.0,85.0,80.0,82.0,70.0,73.0
26727,79.0,75.0,75.0,80.0,77.0,75.0,76.0,78.0,76.0,78.0,76.0,75.0,79.0,75.0,79.0
26728,75.0,74.0,75.0,72.0,70.0,74.0,70.0,70.0,73.0,73.0,73.0,70.0,72.0,73.0,75.0
26729,68.0,65.0,70.0,69.0,65.0,65.0,65.0,66.0,66.0,66.0,67.0,65.0,66.0,65.0,70.0
26730,62.0,62.0,64.0,60.0,63.0,63.0,64.0,65.0,61.0,62.0,60.0,65.0,63.0,62.0,64.0
26731,57.0,56.0,56.0,57.0,55.0,55.0,58.0,,59.0,58.0,56.0,59.0,57.0,58.0,59.0
26732,52.0,55.0,51.0,54.0,55.0,51.0,53.0,53.0,53.0,55.0,53.0,53.0,55.0,52.0,52.0
26733,49.0,45.0,50.0,49.0,47.0,46.0,50.0,,50.0,48.0,,48.0,45.0,50.0,45.0
26734,43.0,42.0,43.0,42.0,41.0,45.0,44.0,42.0,44.0,43.0,42.0,45.0,41.0,43.0,44.0
26735,36.0,38.0,38.0,36.0,37.0,36.0,37.0,39.0,36.0,38.0,40.0,39.0,36.0,37.0,39.0
26736,35.0,33.0,35.0,31.0,34.0,35.0,34.0,30.0,32.0,30.0,32.0,32.0,32.0,32.0,32.0
26737,27.0,29.0,26.0,28.0,,26.0,29.0,30.0,29.0,25.0,29.0,29.0,,25.0,28.0
26738,10.0,11.0,13.0,12.0,12.0,13.0,25.0,22.0,24.0,16.0,10.0,14.0,21.0,16.0,24.0
26739,10.0,1.0,3.0,7.0,1.0,3.0,1.0,10.0,8.0,7.0,10.0,6.0,0.0,1.0,2.0
26740,111.0,119.0,119.0,115.0,112.0,116.0,110.0,112.0,115.0,120.0,111.0,115.0,116.0,117.0,120.0
26741,106.0,110.0,107.0,109.0,107.0,106.0,107.0,105.0,108.0,109.0,105.0,107.0,105.0,106.0,110.0
26742,101.0,105.0,101.0,101.0,105.0,103.0,105.0,102.0,101.0,103.0,100.0,104.0,104.0,100.0,104.0
26743,96.0,98.0,99.0,99.0,96.0,96.0,99.0,96.0,96.0,100.0,97.0,100.0,97.0,96.0,96.0
26744,94.0,95.0,94.0,91.0,90.0,93.0,91.0,93.0,90.0,92.0,92.0,91.0,94.0,93.0,91.0
26745,89.0,86.0,90.0,85.0,90.0,90.0,89.0,85.0,89.0,88.0,88.0,89.0,87.0,88.0,88.0
26746,,84.0,85.0,85.0,85.0,85.0,81.0,82.0,83.0,83.0,80.0,82.0,60.0,58.0,85.0
26747,75.0,76.0,75.0,,79.0,78.0,75.0,80.0,77.0,79.0,78.0,80.0,79.0,79.0,78.0
26748,73.0,73.0,72.0,71.0,71.0,75.0,71.0,72.0,75.0,74.0,72.0,74.0,71.0,75.0,73.0
26749,67.0,70.0,68.0,70.0,65.0,68.0,66.0,66.0,67.0,65.0,67.0,68.0,67.0,66.0,69.0
26750,65.0,65.0,65.0,63.0,61.0,65.0,63.0,65.0,62.0,61.0,63.0,63.0,62.0,60.0,63.0
26751,60.0,58.0,57.0,56.0,60.0,55.0,59.0,60.0,58.0,56.0,57.0,59.0,55.0,56.0,58.0
26752,54.0,50.0,55.0,55.0,50.0,51.0,51.0,53.0,55.0,53.0,51.0,50.0,54.0,51.0,54.0
26753,46.0,45.0,49.0,46.0,47.0,48.0,47.0,46.0,50.0,50.0,50.0,49.0,49.0,46.0,45.0
26754,40.0,42.0,42.0,42.0,40.0,45.0,41.0,43.0,43.0,44.0,43.0,42.0,41.0,42.0,42.0
26755,39.0,39.0,36.0,39.0,37.0,37.0,36.0,36.0,38.0,36.0,40.0,35.0,37.0,38.0,40.0
26756,35.0,30.0,35.0,34.0,32.0,31.0,33.0,31.0,34.0,35.0,32.0,35.0,35.0,34.0,31.0
26757,26.0,30.0,29.0,26.0,29.0,25.0,30.0,26.0,26.0,29.0,27.0,27.0,26.0,25.0,28.0
26758,12.0,18.0,16.0,14.0,17.0,19.0,12.0,16.0,10.0,23.0,20.0,10.0,12.0,15.0,17.0
26759,9.0,3.0,8.0,0.0,2.0,4.0,8.0,10.0,5.0,,8.0,7.0,2.0,3.0,
26760,110.0,120.0,113.0,116.0,120.0,113.0,118.0,119.0,117.0,114.0,113.0,116.0,112.0,113.0,118.0
26761,109.0,107.0,107.0,109.0,105.0,105.0,109.0,105.0,109.0,105.0,110.0,110.0,108.0,107.0,108.0
26762,102.0,105.0,103.0,100.0,105.0,100.0,100.0,102.0,102.0,103.0,104.0,104.0,105.0,104.0,100.0
26763,95.0,99.0,96.0,100.0,97.0,100.0,100.0,98.0,96.0,95.0,98.0,96.0,96.0,98.0,96.0
26764,93.0,94.0,90.0,91.0,95.0,91.0,93.0,95.0,91.0,93.0,90.0,92.0,90.0,90.0,90.0
26765,86.0,89.0,86.0,87.0,85.0,90.0,88.0,87.0,90.0,88.0,85.0,88.0,87.0,,87.0
26766,81.0,80.0,80.0,84.0,84.0,85.0,81.0,80.0,81.0,82.0,84.0,82.0,75.0,83.0,67.0
26767,76.0,79.0,78.0,77.0,77.0,78.0,77.0,76.0,77.0,76.0,78.0,78.0,75.0,77.0,77.0
26768,75.0,73.0,73.0,71.0,74.0,75.0,72.0,70.0,71.0,71.0,73.0,70.0,74.0,73.0,75.0
