Id,aluminium,ammonia,arsenic,barium
4429,0.03,24.93,0.01,2.46
4430,0.05,22.53,0.02,0.62
4431,0.03,6.07,0.09,2.05
4432,0.07,25.6,0.08,1.07
4433,0.02,15.55,0.08,1.97
4434,0.03,29.15,0.06,0.3
4435,0.06,4.02,0.06,0.04
4436,0.04,23.01,0.02,1.89
4437,0.03,25.95,0.06,0.92
4438,0.06,12.62,,0.5
4439,0.06,19.84,0.04,1.33
4440,0.04,8.92,0.09,
4441,0.07,22.11,0.05,0.41
4442,0.06,0.76,0.0,0.13
4443,0.0,27.4,0.04,0.39
4444,0.04,13.57,0.0,0.86
4445,0.05,0.54,0.1,0.62
4446,0.02,28.67,0.1,1.0
4447,0.05,10.63,0.02,1.07
4448,0.05,8.68,0.03,0.4
4449,0.07,0.23,0.05,0.46
4450,0.08,22.42,0.02,2.12
4451,0.07,19.82,0.08,0.57
4452,0.08,18.05,0.07,0.31
4453,0.09,9.55,0.07,0.86
4454,0.08,8.42,0.09,0.4
4455,0.08,2.89,0.08,0.19
4456,0.01,20.68,0.01,0.8
4457,0.1,2.53,0.04,0.78
4458,0.1,11.8,0.07,0.59
4459,0.05,2.13,0.1,1.89
4460,0.05,29.12,0.04,0.35
4461,0.05,13.13,0.03,0.59
4462,0.02,2.87,0.03,0.15
4463,0.05,3.41,0.02,0.84
4464,0.02,20.91,0.08,0.95
4465,0.08,19.85,0.07,0.91
4466,0.1,11.43,0.02,1.24
4467,0.03,21.79,0.09,0.42
4468,0.06,7.74,0.02,0.55
4469,0.09,10.56,0.06,0.92
4470,0.06,7.83,0.06,0.36
4471,0.01,13.01,0.04,2.16
4472,0.04,27.56,0.06,0.51
4473,0.0,,0.01,0.62
4474,0.05,18.85,0.04,0.73
4475,0.05,7.62,0.02,
4476,0.07,15.75,0.07,1.22
4477,0.07,14,0.01,0.49
4478,0.05,27.36,0.05,2.54
4479,0.09,17.87,0.01,0.4
4480,0.1,13.98,0.07,2.57
4481,0.1,9,0.04,0.32
4482,0.06,27.63,0.03,0.48
4483,0.0,25.93,0.03,0.82
4484,0.05,9.68,0.04,0.45
4485,0.04,21.87,0.05,0.46
4486,0.05,8.52,0.03,1.9
4487,0.06,15.61,0.01,1.54
4488,0.04,14.64,0.05,0.14
4489,0.01,16.73,0.05,0.39
4490,0.03,21.03,0.0,1.54
4491,0.06,13.12,0.06,0.47
4492,0.03,2.01,0.01,0.62
4493,0.06,22.14,0.04,0.38
4494,0.01,3.17,0.08,0.91
4495,0.02,13.45,0.02,0.46
4496,0.0,18.77,0.05,0.73
4497,0.0,22.71,0.08,0.09
4498,0.04,12.29,0.01,0.48
4499,0.1,10.13,0.04,0.35
4500,0.06,8.59,0.06,0.58
4501,0.1,28.95,0.05,1.75
4502,0.06,17.5,0.06,0.42
4503,0.01,19.56,0.05,0.51
4504,0.07,11.46,0.03,1.14
4505,0.02,26.05,0.01,0.97
4506,0.07,5.7,0.04,0.91
4507,0.1,9.19,0.03,0.71
4508,0.1,11.91,0.05,0.69
4509,0.08,0.08,0.07,0.39
4510,0.07,14.72,0.08,2.61
4511,0.03,15.84,0.02,1.31
4512,0.04,10.13,0.02,0.8
4513,0.02,1.95,0.02,0.13
4514,0.02,18.79,0.1,0.16
4515,0.04,18.31,0.08,0.58
4516,0.03,9.19,0.03,0.15
4517,0.06,4.72,0.09,0.79
4518,0.03,16.08,0.05,0.8
4519,0.01,1.91,0.01,0.27
4520,0.09,4.63,0.09,0.62
4521,0.06,21.58,,0.02
4522,0.09,28.88,0.05,0.04
4523,0.02,25.05,0.09,0.7
4524,0.05,18.97,0.02,0.62
4525,0.02,22.65,0.08,2.47
4526,0.07,23.39,0.09,0.34
4527,0.08,22.89,0.03,0.94
4528,0.09,17.02,0.04,0.79
4529,0.0,9.63,0.05,0.6
4530,0.05,0.45,0.09,1.21
4531,0.1,25.83,0.07,0.71
4532,0.02,20.87,0.06,0.56
4533,0.05,1.09,0.05,0.06
4534,0.08,12.65,0.05,0.8
4535,0.04,18.61,0.08,0.06
4536,0.1,26.8,0.04,0.82
4537,0.06,9.41,0.07,0.77
4538,0.07,16.47,0.02,0.5
4539,0.07,10.74,0.09,0.42
4540,0.02,10.6,0.07,2.46
4541,0.07,5.49,0.08,0.75
4542,0.06,3.62,0.01,0.18
4543,0.02,15.58,0.06,0.81
4544,0.04,14.69,0.05,0.52
4545,0.04,27.41,0.06,0.47
4546,0.09,28.72,0.0,0.52
4547,0.0,0.94,0.0,0.32
4548,0.07,8.71,0.05,0.03
4549,0.09,14.22,0.06,0.69
4550,0.08,5.02,0.05,1.52
4551,0.03,22.38,0.05,0.6
4552,0.09,25.88,0.01,2.13
4553,0.08,20.22,0.04,0.38
4554,0.09,17.48,0.02,0.06
4555,0.08,16.01,0.02,0.72
4556,0.01,12.13,0.05,0.01
4557,0.09,23.35,0.1,0.03
4558,0.06,,0.04,0.36
4559,0.1,27.14,0.04,0.06
4560,0.03,13.73,0.01,0.07
4561,0.1,3.91,0.02,0.91
4562,0.02,3.9,0.03,0.23
4563,0.07,1.03,0.04,2.57
4564,0.03,8.26,0.07,0.99
4565,0.05,16.94,0.05,0.77
4566,0.01,5.41,0.06,0.93
4567,0.02,18.79,0.08,0.22
4568,0.06,17.75,0.01,1.49
4569,0.01,21.01,0.02,0.33
4570,0.04,15.42,0.02,1.5
4571,0.07,1.62,0.0,0.04
4572,0.06,5.58,0.09,0.86
4573,0.07,1.14,0.07,0.65
4574,0.07,24.72,0.0,0.12
4575,0.06,7.61,0.04,1.52
4576,0.06,25.81,0.0,0.96
4577,0.04,19.53,0.05,0.66
4578,0.04,9.82,0.07,0.31
4579,0.07,27.72,0.07,0.17
4580,0.0,19.2,0.06,1.49
4581,0.02,9.69,0.07,1.31
4582,0.07,1.72,0.08,0.9
4583,0.05,27.69,0.03,0.48
4584,0.04,20.99,0.05,0.62
4585,0.09,8.29,0.09,0.58
4586,0.08,19.57,0.0,2.0
4587,0.01,8.19,0.01,0.45
4588,0.06,2.3,0.05,0.89
4589,0.01,22.12,0.03,0.68
4590,0.04,18.46,0.09,1.13
4591,0.09,18.81,0.03,0.47
4592,0.05,17.06,0.01,0.48
4593,0.09,22.72,0.09,0.68
4594,0.03,23.42,0.1,0.32
4595,0.08,15.55,0.08,0.32
4596,,11.6,0.02,0.94
4597,0.02,22.94,0.03,0.47
4598,0.04,12.9,0.03,0.71
4599,0.0,22,0.04,0.1
4600,,10.69,0.07,0.24
4601,0.05,25,0.02,0.85
4602,0.06,20.69,0.04,0.98
4603,0.1,24.25,0.02,0.77
4604,0.03,12.18,0.03,1.45
4605,0.05,13.65,0.02,0.36
4606,0.09,24.95,0.08,0.57
4607,0.03,28.02,0.04,0.9
4608,0.03,25.08,0.01,0.57
4609,0.07,4.24,0.09,1.8
4610,0.05,28.21,0.09,0.73
4611,0.01,24.68,0.06,0.46
4612,0.01,0.12,0.04,0.07
4613,0.09,8.04,0.03,1.69
4614,0.07,0.29,0.05,0.74
4615,0.06,23.64,0.0,1.0
4616,0.07,29.08,0.06,0.21
4617,0.07,13.55,0.07,0.33
4618,0.09,26.79,0.05,0.96
4619,0.05,8.92,0.02,0.56
4620,0.05,2.36,0.02,0.46
4621,0.09,5.94,0.01,0.92
4622,0.05,0.68,0.07,0.05
4623,0.06,7.61,0.08,0.02
4624,0.01,14.82,0.02,1.64
4625,0.07,8.09,0.02,0.81
4626,0.1,16.41,0.09,0.88
4627,0.08,16.94,0.07,0.54
4628,0.1,21.67,0.04,0.76
4629,0.0,2.68,0.08,0.99
4630,0.06,0.54,0.08,0.98
4631,0.06,21.87,0.02,1.1
4632,0.09,6.74,0.04,0.11
4633,0.07,12.82,0.01,
4634,0.03,2.01,0.04,1.13
4635,0.06,5.29,0.01,0.33
4636,0.05,9.31,0.02,0.41
4637,0.02,27.3,0.07,1.18
4638,0.08,25.34,0.05,1.51
4639,0.05,19.56,0.03,1.72
4640,0.09,20.41,0.06,1.78
4641,0.04,9.62,0.0,1.78
4642,0.04,11,0.05,0.08
4643,0.03,9.83,0.09,0.14
4644,0.07,17.68,0.06,0.69
4645,0.08,6.32,0.06,0.79
4646,0.07,24.33,0.02,0.17
4647,0.07,5.75,0.07,0.57
4648,0.05,0.36,0.08,0.76
4649,0.07,9.65,0.04,0.38
4650,0.01,21.48,0.06,0.3
4651,0.05,25.19,0.07,0.13
4652,0.05,12.08,0.04,0.51
4653,0.0,12.46,0.05,0.53
4654,0.03,26.93,0.04,0.26
4655,0.1,7.6,0.07,1.18
4656,0.0,,0.03,0.04
4657,0.09,22.05,0.02,0.89
4658,0.08,7.69,0.04,0.11
4659,0.06,8.8,0.1,0.47
4660,0.09,25.41,0.02,0.91
4661,0.09,3.98,0.06,0.79
4662,0.02,25.45,0.02,0.77
4663,0.1,28.78,0.01,0.92
4664,0.09,22.43,0.08,0.72
4665,0.08,1.59,0.08,0.72
4666,0.03,3.09,0.09,0.69
4667,0.03,12.01,0.04,0.05
4668,0.06,10.28,0.0,0.46
4669,0.09,2.08,0.01,0.98
4670,0.1,25.78,0.03,0.97
4671,0.06,27.45,0.05,0.08
4672,0.05,3.7,0.06,0.34
4673,0.05,4.18,0.02,0.6
4674,0.06,2.47,0.04,0.05
4675,0.05,22.43,0.02,0.08
4676,0.09,1.52,0.03,1.0
4677,0.08,13.21,0.06,0.63
4678,0.09,14.96,0.03,0.08
4679,0.01,26.08,0.03,0.5
4680,0.01,7.24,0.0,0.12
4681,,18.3,0.07,0.53
4682,0.08,7.02,0.03,0.01
4683,0.1,1.62,0.02,1.65
4684,0.02,25.46,0.05,0.87
4685,0.0,17.91,0.01,0.25
4686,0.09,11.26,0.06,0.22
4687,0.03,23.91,0.03,2.55
4688,0.09,1.65,0.05,0.2
4689,0.08,10.69,0.05,0.38
4690,0.03,5.47,0.09,2.71
4691,0.03,8.92,0.07,0.42
4692,0.03,4.86,0.01,0.35
4693,0.09,0.52,0.08,1.79
4694,0.07,10.52,0.04,0.18
4695,0.05,5.26,0.08,0.18
4696,0.09,8.68,0.09,0.34
4697,0.06,4.92,0.01,0.19
4698,0.07,3.66,0.04,0.75
4699,0.06,10.44,0.08,1.91
4700,0.07,26.03,0.09,2.28
4701,0.04,0.34,0.01,0.71
4702,0.08,1.99,0.08,2.35
4703,0.0,8.3,0.05,0.79
4704,0.05,28.06,0.1,2.84
4705,0.03,2.45,0.03,0.04
4706,0.02,27.98,0.08,0.79
4707,0.0,19.43,0.05,0.16
4708,0.08,9.48,0.09,0.38
4709,0.01,13.58,0.08,0.28
4710,0.07,23.96,0.08,0.15
4711,0.05,23.63,0.05,0.56
4712,0.0,24.39,0.02,0.17
4713,0.06,27.87,0.04,0.29
4714,0.07,17.46,0.07,0.15
4715,0.0,6.61,0.01,2.11
4716,0.08,16.61,0.08,1.59
4717,0.06,8.59,0.05,0.02
4718,0.01,11.07,0.07,0.05
4719,0.05,4.21,0.05,0.98
4720,0.03,20.85,0.01,0.06
4721,0.04,5.59,0.06,0.4
4722,0.02,25.23,0.09,0.33
4723,0.03,,0.08,0.6
4724,0.06,21.61,0.0,1.41
4725,0.03,18.42,0.03,0.91
4726,0.08,9.2,0.06,1.65
4727,0.07,10.87,0.08,1.12
4728,0.04,,0.09,0.3
4729,0.0,13.64,0.04,0.52
4730,0.08,4.96,0.1,
4731,0.02,15.44,0.1,0.5
4732,0.02,9.41,0.07,0.53
4733,0.03,23.11,0.08,0.54
4734,0.02,20.39,0.01,0.84
4735,0.07,13.94,0.04,2.97
4736,0.1,23.63,0.1,0.79
4737,0.02,22.79,0.03,1.33
4738,0.05,1.19,0.03,1.0
4739,0.05,6.42,0.01,0.54
4740,0.0,27.92,0.05,0.13
4741,0.08,6.38,0.05,2.54
4742,0.04,17.44,0.02,0.04
4743,0.02,16.29,0.01,0.89
4744,0.09,21.24,0.06,0.32
4745,0.05,22.72,0.01,0.42
4746,0.06,17.22,0.01,0.6
4747,0.04,28.35,0.06,0.56
4748,0.1,4.57,0.06,0.94
4749,0.09,26.6,0.02,0.01
4750,0.09,10.63,0.09,0.21
4751,0.01,28.62,0.09,0.1
4752,0.06,9.95,0.01,0.88
4753,,7.4,0.0,0.3
4754,0.05,,0.09,2.63
4755,0.07,17.72,0.09,2.53
4756,0.05,10.6,0.07,0.88
4757,0.06,29.09,0.1,0.2
4758,0.03,1.64,,2.1
4759,0.03,28.2,0.04,0.37
4760,0.05,25.67,0.0,1.81
4761,0.02,27.93,0.04,0.95
4762,0.1,6.52,0.08,0.45
4763,0.08,,0.09,1.14
4764,0.08,12.06,0.03,0.54
4765,0.04,5.62,0.03,0.58
4766,0.09,26.93,0.06,2.74
4767,0.02,1.71,0.08,0.12
4768,0.01,5.12,0.06,2.22
4769,0.06,12.19,0.07,1.61
4770,0.1,19.3,0.1,0.41
4771,0.09,22.73,0.02,0.15
4772,0.02,3.95,0.07,0.61
4773,0.06,26.77,0.02,0.57
4774,0.1,26.04,0.08,0.92
4775,0.06,23.51,0.06,0.1
4776,0.03,2.71,0.05,0.37
4777,0.05,25.82,0.08,0.27
4778,0.05,5.58,0.06,0.05
4779,0.05,18.62,0.01,0.68
4780,0.04,0.27,0.07,0.24
4781,0.07,26.18,0.0,0.23
4782,0.05,19.74,0.03,0.3
4783,,24.87,0.1,0.45
4784,0.01,13.21,0.1,0.73
4785,0.01,8.37,0.09,0.61
4786,0.09,27.7,0.01,0.88
4787,0.02,2.55,0.07,0.03
4788,0.05,1.9,0.02,0.17
4789,0.05,28.3,0.1,0.31
4790,0.09,14.98,0.07,0.89
4791,0.09,2.75,0.09,1.6
4792,0.08,15.86,0.09,1.59
4793,0.09,22.38,0.06,1.46
4794,0.06,11.77,0.03,2.31
4795,0.05,20.19,0.04,0.3
4796,0.02,27.48,0.01,0.46
4797,0.08,7.51,0.03,0.88
4798,0.01,22.12,0.01,0.13
4799,0.07,21.47,0.0,0.27
4800,0.04,17.69,0.01,0.4
4801,0.05,26.45,0.09,0.25
4802,,11.77,0.04,0.77
4803,0.07,3.5,0.01,0.02
4804,0.03,12.23,0.1,0.23
4805,0.0,2.34,0.04,0.09
4806,0.03,2.38,0.03,0.34
4807,0.03,16.01,0.01,0.87
4808,0.01,12.81,0.06,2.68
4809,0.06,13.76,0.04,0.87
4810,0.03,28.9,0.01,0.5
4811,0.01,3.82,0.07,0.3
4812,0.09,15.95,0.01,0.94
4813,0.04,0.18,0.03,0.15
4814,0.01,4.78,0.05,0.02
4815,0.04,11.95,0.1,2.53
4816,0.08,3.07,0.07,0.71
4817,0.03,13.09,0.08,0.23
4818,0.04,22.22,0.02,0.65
4819,0.04,20.33,0.06,0.59
4820,0.04,22.98,0.02,0.99
4821,0.03,11.02,0.09,0.87
4822,0.06,14.46,0.09,0.44
4823,0.02,6.57,0.08,0.25
4824,0.03,7.63,0.04,0.81
4825,0.09,11.88,0.06,0.59
4826,0.03,5.78,0.05,0.36
4827,0.03,15.98,0.06,0.37
4828,0.01,17.08,0.04,2.0
4829,0.09,9.71,0.09,0.98
4830,0.01,22.18,0.1,0.53
4831,0.01,11.85,0.04,1.69
4832,0.04,19.76,0.05,0.65
4833,,15.18,0.07,2.96
4834,0.02,13.44,0.07,0.82
4835,0.07,15.79,0.1,0.1
4836,0.01,24.9,0.04,0.05
4837,0.04,13.86,0.02,0.22
4838,0.07,25.88,0.01,0.25
4839,0.06,3.58,0.09,0.75
4840,0.08,12.39,0.05,2.61
4841,0.03,24.51,0.03,0.36
4842,0.06,17.48,0.07,0.0
4843,0.08,19.25,0.06,0.31
4844,0.07,27.91,0.03,0.11
4845,0.08,13.21,0.04,1.07
4846,0.08,21.54,0.07,0.8
4847,0.08,13.82,0.01,1.94
4848,0.04,17.36,0.02,0.53
4849,0.04,20.82,0.1,0.12
4850,0.07,13.22,0.02,0.04
4851,0.03,29.34,0.02,0.01
4852,0.06,28.34,0.07,0.27
4853,0.06,10.77,0.06,0.75
4854,0.04,0.12,0.09,1.28
4855,0.06,19.16,0.09,2.39
4856,0.02,14.95,0.08,1.77
4857,0.04,9.02,0.09,0.37
4858,0.03,20.35,0.02,2.55
4859,0.05,15.82,0.04,0.2
4860,0.02,17.24,0.01,0.83
4861,0.07,14.72,0.03,0.84
4862,0.05,20.79,0.03,0.48
4863,0.09,0.41,0.08,0.64
4864,0.07,18.19,0.05,0.5
4865,0.06,24.38,0.05,0.68
4866,0.07,3.94,0.0,0.48
4867,0.08,23.49,0.1,1.19
4868,0.04,3.28,0.08,0.79
4869,0.02,9.58,0.03,0.03
4870,0.07,22.51,0.06,2.23
4871,0.01,7.5,0.07,1.23
4872,0.1,14.56,0.02,0.94
4873,0.07,20.7,0.01,0.4
4874,0.08,0.57,0.03,0.63
4875,0.02,14.3,0.04,0.46
4876,0.08,27.41,0.06,0.91
4877,0.06,1.27,0.06,1.47
4878,0.08,27.08,0.0,0.96
4879,0.05,16.35,0.1,1.75
4880,0.06,24.48,0.02,1.67
4881,0.04,17.57,0.02,0.99
4882,0.0,12.31,0.1,0.66
4883,0.09,20.57,0.01,3.0
4884,0.1,17.35,0.0,0.97
4885,0.09,23.89,0.04,0.72
4886,0.08,21.14,0.05,0.4
4887,0.1,16.67,0.07,0.52
4888,0.03,26.88,0.04,0.63
4889,0.03,0.08,0.03,1.13
4890,0.03,18.94,0.08,1.37
4891,0.1,28.48,0.05,2.41
4892,0.01,0.06,0.0,2.13
4893,0.03,13.15,0.02,1.42
4894,0.06,23.89,0.05,0.32
4895,0.05,6.83,0.09,0.97
4896,0.1,17.47,0.09,0.97
4897,0.03,14.77,0.04,1.18
4898,0.0,29.39,0.09,3.19
4899,0.09,14.89,0.03,2.14
4900,0.04,23.36,0.02,1.5
4901,0.05,25.93,0.06,0.84
4902,0.06,13.89,0.01,1.5
4903,0.09,0.53,0.08,0.69
4904,0.02,28.37,0.04,0.71
4905,0.08,2.39,0.02,0.4
4906,0.0,0.42,0.06,0.39
4907,,23.53,0.06,0.21
4908,0.06,3.77,0.05,0.42
4909,0.07,11.08,0.08,2.14
4910,0.05,,0.02,0.52
4911,0.04,3.78,0.08,0.56
4912,0.07,18.83,0.04,0.06
4913,0.02,23.76,0.09,0.81
4914,0.09,26.9,0.06,0.39
4915,0.04,5.26,0.08,0.32
4916,0.01,28.1,0.03,1.11
4917,0.07,27.15,0.07,1.93
4918,0.04,5.33,0.04,0.62
4919,0.07,19.18,0.05,1.5
4920,0.03,2.37,0.02,0.54
4921,0.05,4.46,0.06,0.79
4922,0.08,27.59,0.01,0.05
4923,0.07,2.7,0.04,0.6
4924,0.05,18.73,0.05,0.13
4925,0.08,16.02,0.03,0.45
4926,0.02,24.81,,2.35
4927,0.05,19.74,0.03,0.24
4928,0.08,17.32,0.06,0.09
4929,0.09,6.51,0.03,0.98
4930,0.05,20.53,0.08,0.11
4931,0.04,6.75,0.07,0.66
4932,0.04,11.36,0.03,0.49
4933,0.08,19.92,0.06,2.01
4934,0.07,28.34,0.05,2.91
4935,0.02,26.61,0.04,0.66
4936,0.07,22.89,0.02,0.89
4937,0.07,22.95,0.09,0.23
4938,0.05,3.45,0.02,0.35
4939,0.03,11.12,0.07,2.82
4940,0.01,24.71,0.01,0.0
4941,0.07,0.33,0.05,2.06
4942,0.1,26.17,0.05,2.48
4943,0.08,17.44,0.05,0.6
4944,0.04,17.64,0.01,0.38
4945,0.1,28.19,0.09,0.19
4946,0.09,7.37,0.02,1.08
4947,0.09,16.07,0.04,0.93
4948,0.06,0.56,,0.55
4949,0.01,4.47,0.03,0.32
4950,0.05,24.16,0.01,0.42
4951,0.02,1.16,0.01,0.45
4952,0.03,0.66,0.09,0.46
4953,0.02,14.27,0.08,0.76
4954,0.05,23.29,0.07,0.59
4955,0.02,28.29,0.05,0.1
4956,0.04,27.3,0.08,0.17
4957,0.07,14.02,0.04,0.27
4958,0.04,10.74,0.02,0.27
4959,0.04,24.58,0.02,0.33
4960,0.02,4.62,0.04,0.36
4961,0.04,22.51,0.02,1.75
4962,0.01,22.89,0.01,0.3
4963,0.05,17.94,0.07,0.68
4964,0.06,0.06,0.09,1.56
4965,0.03,7.17,0.08,1.42
4966,0.08,21.63,0.01,0.35
4967,0.05,16.1,0.03,0.57
4968,0.0,10.19,0.05,2.46
4969,0.01,0.74,0.05,2.0
4970,0.05,18.91,0.04,0.82
4971,0.08,25.1,0.05,0.5
4972,0.02,20.07,0.04,0.94
4973,0.02,19.55,0.04,0.56
4974,0.05,25.43,0.0,0.85
4975,0.05,26.6,0.02,1.39
4976,0.08,21.58,0.07,0.19
4977,0.1,26.32,0.08,0.56
4978,0.06,21.92,0.09,0.94
4979,0.08,9.19,0.07,0.0
4980,0.06,15.54,0.01,0.95
4981,0.04,3.38,0.02,0.74
4982,0.1,0.11,0.04,0.82
4983,0.04,9.93,0.09,0.33
4984,0.02,0.64,0.1,0.87
4985,0.04,24.68,0.08,0.77
4986,0.09,2.81,0.07,0.87
4987,0.05,6.83,0.03,0.83
4988,0.09,19.05,0.06,0.23
4989,0.01,8.13,0.01,0.23
4990,0.07,20.99,0.04,1.74
4991,0.02,2.79,0.01,0.5
4992,0.09,19.26,0.01,0.76
4993,0.06,8.11,0.06,0.21
4994,0.0,19.93,0.08,0.84
4995,0.04,23.51,0.03,0.68
4996,0.0,10.01,0.09,0.53
4997,0.1,16.49,0.05,0.68
4998,0.0,21.58,0.0,0.32
4999,0.05,5.76,0.01,0.95
5000,0.04,24.94,0.09,2.45
5001,0.06,28.29,0.09,2.86
5002,0.06,10.72,0.09,0.51
5003,0.03,16.93,0.08,0.17
5004,0.07,26.18,0.0,1.62
5005,0.03,14.05,0.09,1.63
5006,0.01,16.35,0.08,0.54
5007,0.05,18.63,0.05,1.73
5008,0.0,25.96,0.01,0.48
5009,0.09,13.51,0.01,0.38
5010,0.01,19.81,0.09,0.11
5011,0.05,9.56,0.06,0.74
5012,0.09,29.11,0.0,1.44
5013,0.09,7.04,0.07,0.2
5014,0.09,0.85,0.07,1.33
5015,0.02,13.09,0.1,0.19
5016,0.05,19.7,0.02,0.52
5017,0.05,13.8,0.03,1.56
5018,0.02,11.17,0.1,0.04
5019,0.01,16.68,0.01,0.06
5020,0.03,22.22,0.08,0.78
5021,0.06,4.24,0.07,0.94
5022,0.01,18.67,0.05,0.47
5023,0.01,13.89,0.1,0.96
5024,0.0,29.02,0.01,0.51
5025,0.02,11.48,0.1,0.7
5026,0.03,0.13,0.07,2.27
5027,0.08,25.11,0.04,0.97
5028,0.06,17.38,0.07,1.3
5029,0.09,7.25,0.09,0.15
5030,0.02,9.44,0.06,0.41
5031,0.05,15.37,0.01,1.58
5032,0.04,13.49,0.08,0.24
5033,0.05,9.17,0.08,0.34
5034,0.08,13.84,0.09,0.51
5035,0.06,23.94,0.05,0.98
5036,0.1,14.32,0.08,0.44
5037,0.02,27.36,0.09,0.25
5038,0.09,11.42,0.08,0.94
5039,0.02,25.72,0.01,2.22
5040,0.08,6.54,0.07,0.77
5041,0.08,26.84,0.03,0.89
5042,0.03,13.93,,
5043,0.08,2.33,0.09,0.69
5044,0.02,7.88,0.03,0.22
5045,0.07,22.21,0.1,0.71
5046,0.07,6.55,0.03,0.26
5047,0.06,18.32,0.09,0.77
5048,0.01,6.38,0.06,1.0
5049,0.08,7.14,0.08,0.03
5050,0.01,0.41,0.05,0.22
5051,0.02,19.16,0.08,0.41
5052,0.1,28.15,0.08,1.13
5053,0.06,15.5,0.03,0.8
5054,0.07,18.14,0.1,0.66
5055,0.06,16.44,0.0,0.3
5056,0.03,10.94,0.1,0.38
5057,0.04,0.43,0.04,0.41
5058,0.03,27.19,0.09,0.84
5059,0.06,26.32,0.03,0.55
5060,0.04,28.53,0.1,0.09
5061,0.08,20.47,0.08,0.3
5062,0.1,21.89,0.03,2.82
5063,0.05,14.81,0.0,0.38
5064,0.03,21.73,0.05,0.56
5065,0.05,11.5,0.01,1.0
5066,0.05,18.88,0.09,0.27
5067,0.03,26.37,0.01,0.85
5068,0.05,29.02,0.02,0.28
5069,0.05,3.31,0.07,0.99
5070,0.03,19.85,0.01,0.58
5071,0.02,27.85,0.04,0.33
5072,0.0,14.45,0.07,0.93
5073,0.04,5.98,0.1,1.04
5074,0.09,7.65,0.1,0.97
5075,0.07,3.62,0.1,0.82
5076,0.06,25.52,0.01,0.33
5077,0.09,23.64,0.05,0.48
5078,0.05,8.9,0.07,0.38
5079,0.08,17.82,0.04,0.9
5080,0.01,19.69,0.09,1.64
5081,0.08,5.59,0.03,2.03
5082,0.09,8.01,0.06,0.72
5083,0.05,23.64,0.09,0.85
5084,0.02,26.66,0.0,1.13
5085,0.04,17.67,0.09,0.15
5086,0.02,4.87,0.06,0.93
5087,0.02,5.58,0.08,0.13
5088,0.06,16.72,0.01,1.0
5089,0.09,0.05,0.04,0.52
5090,0.04,10.51,0.02,0.14
5091,0.08,8.72,0.06,0.82
5092,0.01,16.7,0.09,0.12
5093,0.02,2.9,0.07,0.58
5094,0.02,28.76,0.08,0.77
5095,0.0,29.03,0.08,0.27
5096,0.01,19.3,0.05,0.7
5097,0.06,22.76,0.02,0.75
5098,0.07,0.4,0.07,1.91
5099,0.05,1.72,0.09,0.92
5100,0.05,12.27,0.08,2.66
5101,0.02,17.84,0.06,0.61
5102,0.09,,0.09,0.86
5103,0.04,25.91,0.08,0.69
5104,0.07,1.17,0.04,1.0
5105,0.03,28.54,0.1,0.27
5106,0.03,1.63,0.01,0.66
5107,0.06,17.41,0.0,1.91
5108,0.08,23.74,0.06,0.21
5109,0.04,3.55,0.0,0.12
5110,0.04,15.1,0.02,0.61
5111,0.07,8.58,0.02,2.55
5112,0.07,9.64,0.02,0.04
5113,0.07,28.3,0.02,2.56
5114,0.09,27.16,0.04,0.82
5115,0.06,15.37,0.07,0.63
5116,0.06,29.06,0.0,0.88
5117,0.08,28.73,0.0,0.18
5118,0.03,11.53,0.05,1.28
5119,0.09,1.37,0.02,1.87
5120,0.01,7.73,0.09,0.81
5121,0.04,19.5,0.04,0.22
5122,0.03,22.52,0.03,0.45
5123,0.02,23.43,0.01,0.48
5124,0.01,4.14,0.08,0.56
5125,0.01,9.87,0.09,0.32
5126,0.1,22.3,0.1,1.07
5127,0.02,8.69,0.04,0.18
5128,0.1,2.25,0.08,0.42
5129,0.1,5.87,0.03,2.92
5130,0.03,5.63,0.01,1.09
5131,0.04,11.47,0.06,1.79
5132,0.07,10.02,0.04,
5133,0.02,10.9,0.04,2.87
5134,0.06,18.94,0.04,0.23
5135,0.03,12.18,0.04,0.93
5136,0.04,28.34,0.04,0.8
5137,0.05,24.12,0.09,0.03
5138,0.0,18.12,0.08,0.37
5139,0.01,22.66,0.07,0.34
5140,0.08,10.53,0.09,2.97
5141,0.09,6.17,0.07,0.43
5142,0.06,17.57,0.03,0.19
5143,0.01,28.94,0.02,0.29
5144,0.08,14.48,0.06,0.45
5145,0.03,26.33,0.04,0.94
5146,0.01,4.32,0.07,0.96
5147,0.06,9.04,0.01,1.78
5148,0.08,20.38,0.09,1.93
5149,0.09,25.32,0.04,0.76
5150,0.05,1.18,0.02,1.72
5151,0.02,15.05,0.05,0.79
5152,0.01,26.23,0.05,1.91
5153,0.07,20.12,0.09,0.41
5154,0.06,10.98,0.03,1.81
5155,0.06,22.9,0.06,1.58
5156,0.06,6.72,0.06,0.66
5157,0.01,23.11,0.04,0.25
5158,0.07,19.12,0.06,0.7
5159,0.04,19.11,0.0,0.18
5160,0.03,13.5,0.05,0.79
5161,0.08,21.94,0.02,1.22
5162,0.03,27.57,0.07,0.61
5163,0.09,18.32,0.05,0.53
5164,0.06,21.14,0.02,0.48
5165,0.04,8.31,0.02,1.08
5166,0.01,11.19,0.05,1.26
5167,0.03,2.19,0.05,0.63
5168,0.0,24.82,0.05,0.05
